SAs,Memories,Cost
7,35,0.013410135
7,36,0.014336518
7,37,0.015318134
7,38,0.016358086
7,39,0.017459638
7,40,0.018626222
7,41,0.019861453
7,42,0.021169129
7,43,0.022553248
7,44,0.024018014
7,45,0.025567849
7,46,0.027207403
7,47,0.028941567
7,48,0.03046773
7,49,0.032387419
7,50,0.034416849
7,51,0.036561943
7,52,0.038828927
7,53,0.041224348
7,54,0.043755092
7,55,0.046428401
7,56,0.049251887
7,57,0.052233559
7,58,0.055381837
7,59,0.058705576
7,60,0.062214092
7,61,0.06591718
7,62,0.069825144
7,63,0.073948821
7,64,0.078299614
7,65,0.082889516
7,66,0.087731147
7,67,0.092837785
7,68,0.098223401
7,69,0.103902701
7,70,0.109891159
7,71,0.116205066
7,72,0.122861571
7,73,0.129878731
7,74,0.137275559
7,75,0.145072079
7,76,0.153289384
7,77,0.161949693
7,78,0.171076418
7,79,0.180694234
7,80,0.190829147
7,81,0.201508575
7,82,0.212761427
7,83,0.224618195
7,84,0.237111045
7,85,0.250273917
7,86,0.264142631
7,87,0.278755002
7,88,0.29415096
7,89,0.310372683
7,90,0.327464731
7,91,0.3454742
7,92,0.364450876
7,93,0.384447412
7,94,0.405519507
7,95,0.427726105
7,96,0.442621792
8,8,0.001446489
8,9,0.001634577
8,10,0.001831103
8,11,0.002036545
8,12,0.002251405
8,13,0.002501217
8,14,0.002738879
8,15,0.003017884
8,16,0.003281107
8,17,0.00359277
8,18,0.003923827
8,19,0.004275478
8,20,0.004602497
8,21,0.00499523
8,22,0.005412316
8,23,0.005855222
8,24,0.006262243
8,25,0.006756528
8,26,0.007281228
8,27,0.007838137
8,28,0.008429146
8,29,0.009056246
8,30,0.009721534
8,31,0.010427218
8,32,0.011063868
8,33,0.011849509
8,34,0.012682419
8,35,0.013565284
8,36,0.01450093
8,37,0.01549233
8,38,0.016542615
8,39,0.017655075
8,40,0.018833176
8,41,0.020080561
8,42,0.021401063
8,43,0.022798715
8,44,0.024277756
8,45,0.025842647
8,46,0.02749808
8,47,0.029248986
8,48,0.03078955
8,49,0.03272766
8,50,0.034776506
8,51,0.036942062
8,52,0.039230608
8,53,0.041648748
8,54,0.044203428
8,55,0.046901952
8,56,0.049751999
8,57,0.052761646
8,58,0.055939387
8,59,0.059294155
8,60,0.062835345
8,61,0.066572837
8,62,0.070517027
8,63,0.074678845
8,64,0.079069794
8,65,0.083701972
8,66,0.08858811
8,67,0.0937416
8,68,0.09917654
8,69,0.104907761
8,70,0.110950877
8,71,0.117322322
8,72,0.124039398
8,73,0.131120321
8,74,0.138584275
8,75,0.146451462
8,76,0.154743164
8,77,0.1634818
8,78,0.172690996
8,79,0.182395647
8,80,0.192621996
8,81,0.203397712
8,82,0.214751969
8,83,0.226715539
8,84,0.239320886
8,85,0.252602263
8,86,0.266595826
8,87,0.281339743
8,88,0.296874321
8,89,0.313242135
8,90,0.330488171
8,91,0.348659973
8,92,0.367807808
8,93,0.387984838
8,94,0.409247304
8,95,0.431654726
8,96,0.446701969
9,9,0.001670561
9,10,0.001868924
9,11,0.002076304
9,12,0.002293205
9,13,0.002545611
9,14,0.002785561
9,15,0.00306747
9,16,0.003333253
9,17,0.00364816
9,18,0.003982664
9,19,0.004337974
9,20,0.004668211
9,21,0.005065022
9,22,0.005486431
9,23,0.005933921
9,24,0.006344964
9,25,0.006844344
9,26,0.00737444
9,27,0.007937063
9,28,0.008534119
9,29,0.009167619
9,30,0.009839678
9,31,0.010552524
9,32,0.011195418
